代码,名称,最新价,总市值(亿),股息率(%)
937,冀中能源,5.45,192.58,14.679
603508,思维列控,27.04,103.1,13.084
600256,广汇能源,5.15,329.19,12.272
603565,中谷物流,10.19,214.0,11.973
2271,东方雨虹,15.73,375.74,11.761
601919,中远海控,14.49,2236.67,11.014
605368,蓝天燃气,8.33,59.53,10.204
603303,得邦照明,14.29,68.16,9.664
2582,好想你,15.06,67.42,9.389
2563,森马服饰,5.4,145.48,9.259
2818,富森美,11.39,85.25,9.131
2327,富安娜,6.82,57.17,9.091
603167,渤海轮渡,9.6,45.04,8.333
601088,中国神华,40.08,7963.3,8.084
600036,招商银行,38.24,9644.07,7.879
600566,济川药业,26.76,246.55,7.814
915,华特达因,32.15,75.34,7.776
603551,奥普科技,11.18,43.04,7.71
600153,建发股份,9.24,267.92,7.695
2303,美盈森,4.13,63.24,7.676
603519,立霸股份,13.08,34.84,7.645
603165,荣晟环保,14.98,39.54,7.583
2749,国光股份,13.5,62.96,7.422
2014,永新股份,12.15,74.42,7.407
651,格力电器,40.77,2283.69,7.358
2304,洋河股份,63.18,951.77,7.355
601666,平煤股份,8.24,203.48,7.294
2951,金时科技,13.73,55.61,7.283
600894,广日股份,9.69,82.53,7.265
603207,小方制药,30.55,49.05,7.201
2998,优彩资源,8.64,30.42,7.188
2867,周大生,12.63,137.1,7.173
2572,索菲亚,13.99,134.73,7.148
601686,XD友发集,6.25,91.94,7.136
603886,元祖股份,14.08,33.79,7.102
600132,重庆啤酒,52.7,255.05,7.021
605377,华旺科技,8.65,48.15,6.994
2088,鲁阳节能,11.56,59.32,6.92
600008,首创环保,3.05,223.89,6.885
600023,浙能电力,4.98,667.75,6.827
2839,张家港行,4.44,108.53,6.757
603326,我乐家居,9.73,31.06,6.701
2807,江阴银行,4.49,110.52,6.682
601577,长沙银行,9.3,374.0,6.667
600985,淮北矿业,11.25,302.99,6.667
600546,山煤国际,10.48,207.76,6.584
603833,欧派家居,57.09,347.77,6.516
600398,海澜之家,6.3,302.57,6.508
600901,江苏金租,6.16,356.78,6.494
300979,华利集团,50.86,593.54,6.488
2932,明德生物,18.97,44.11,6.484
301047,义翘神州,77.71,94.52,6.434
601339,百隆东方,6.4,95.97,6.406
603897,长城科技,28.2,58.21,6.383
2032,苏 泊 尔,44.06,353.08,6.378
300406,九强生物,14.2,83.26,6.345
300770,新媒股份,45.2,102.98,6.336
600887,伊利股份,26.84,1697.73,6.334
603801,志邦家居,9.53,41.39,6.327
600066,宇通客车,31.89,706.03,6.272
600177,雅戈尔,7.36,340.29,6.25
600015,华夏银行,6.5,1034.47,6.231
605337,李子园,12.04,46.97,6.196
600742,富维股份,10.18,75.64,6.189
601101,昊华能源,7.5,108.0,6.107
601169,北京银行,5.26,1112.12,6.084
2228,合兴包装,4.58,55.57,6.048
301004,嘉益股份,51.85,75.6,6.046
300737,科顺股份,5.8,64.38,6.034
600729,重庆百货,25.33,111.57,6.005
300616,尚品宅配,15.12,33.95,5.952
601225,陕西煤业,21.48,2082.49,5.95
601928,凤凰传媒,10.09,256.78,5.946
1299,美能能源,12.95,31.42,5.931
301039,中集车辆,9.48,177.67,5.907
600182,S佳通,15.42,52.43,5.901
2293,罗莱生活,10.17,84.8,5.9
601886,江河集团,9.37,106.16,5.87
600551,时代出版,8.57,58.11,5.834
2267,陕天然气,7.75,86.19,5.806
600873,梅花生物,10.74,301.18,5.698
600908,无锡银行,5.8,127.29,5.69
601838,成都银行,15.72,666.28,5.668
600502,安徽建工,4.77,81.88,5.66
2763,汇洁股份,7.98,32.71,5.639
600681,百川能源,4.17,55.91,5.635
601818,光大银行,3.36,1985.27,5.625
913,钱江摩托,16.03,84.41,5.614
600919,江苏银行,9.73,1785.58,5.601
2884,凌霄泵业,17.92,64.1,5.58
600987,航民股份,7.17,73.19,5.579
858,五 粮 液,103.05,4000.0,5.577
858,五粮液,103.05,4000.0,5.577
858,五粮液,103.05,4000.0,5.577
