代码,名称,最新价,总市值(亿),股息率(%),申万1级,申万2级,申万3级,市盈率ttm,市净率
603508.SH,思维列控,26.79,102.14,12.27,—,—,安防设备,16.55,2.66
603565.SH,中谷物流,10.14,212.95,12.03,—,—,航运,9.96,2.16
600256.SH,广汇能源,5.19,331.74,11.98,—,—,油品石化贸易,16.84,1.39
000937.SZ,冀中能源,5.47,193.29,10.97,—,—,焦煤,48.16,1.01
601919.SH,中远海控,14.61,2255.19,10.93,—,—,航运,5.93,1.01
603167.SH,渤海轮渡,9.63,45.18,10.59,—,—,航运,15.64,1.29
605368.SH,蓝天燃气,8.42,60.17,10.1,—,—,燃气Ⅲ,19.17,1.87
603303.SH,得邦照明,14.16,67.54,9.56,—,—,照明设备Ⅲ,23.6,2.17
002563.SZ,森马服饰,5.44,146.56,9.19,—,—,非运动服装,15.94,1.33
002818.SZ,富森美,11.4,85.32,9.12,—,—,商业物业经营,13.73,1.55
002327.SZ,富安娜,6.84,57.34,9.06,—,—,家纺,14.03,1.65
601088.SH,中国神华,40.85,8116.29,7.93,—,—,动力煤,15.71,2.05
600036.SH,招商银行,38.73,9767.65,7.78,—,—,股份制银行Ⅲ,6.56,0.92
600566.SH,济川药业,26.89,247.75,7.76,—,—,中药Ⅲ,15.0,1.79
603519.SH,立霸股份,12.8,34.09,7.74,—,—,家电零部件Ⅲ,20.43,2.87
000915.SZ,华特达因,32.44,76.02,7.71,—,—,化学制剂,13.62,2.78
002014.SZ,永新股份,12.11,74.17,7.43,—,—,塑料包装,15.71,3.16
002749.SZ,国光股份,13.57,63.28,7.38,—,—,农药,16.86,3.54
600971.SH,恒源煤电,6.41,76.92,7.33,—,—,动力煤,280.05,0.64
600894.SH,广日股份,9.62,81.93,7.32,—,—,楼宇设备,12.33,0.96
000651.SZ,格力电器,41.28,2312.26,7.25,—,—,空调,7.3,1.6
002304.SZ,洋河股份,64.19,966.99,7.24,—,—,白酒Ⅲ,46.72,1.99
603207.SH,小方制药,30.39,48.79,7.24,—,—,化学制剂,22.85,5.18
603165.SH,荣晟环保,14.99,39.56,7.22,—,—,大宗用纸,18.98,2.23
002867.SZ,周大生,12.57,136.44,7.16,—,—,钟表珠宝,13.16,2.28
603886.SH,元祖股份,14.17,34.01,7.06,—,—,烘焙食品,26.9,2.19
002572.SZ,索菲亚,14.27,137.43,7.01,—,—,定制家居,12.15,1.91
605377.SH,华旺科技,8.63,48.04,7.01,—,—,特种纸,18.01,1.25
002582.SZ,好想你,13.93,62.37,7.0,—,—,零食,,2.0
002088.SZ,鲁阳节能,11.48,58.91,6.97,—,—,耐火材料,24.36,2.27
601666.SH,平煤股份,8.22,202.98,6.95,—,—,焦煤,34.74,0.88
